Order,Family,Group,Genus,spp,Scientific_Name,Common_Name,species,Migration,Feeding_Class_Breed1,Substrate_Breed1,Forage_Breed1,Nesting_Substrate1,Nesting_Habitat1,Nesting_Habitat2,Nesting_Habitat3,Status,
Passeriformes,Tyrannidae,Forest,Empidonax,alnorum,Empidonax alnorum,Alder Flycatcher ,ALFL,NM,INS,F,Sal,Sh,Swa,Early successional,Bogs,stable,
Passeriformes,Corvidae,Other,Corvus ,brachyrhynchos,Corvus brachyrhynchos,American Crow,AMCR,SDM,OMN,G,For,Coni,Woo,Agricultural,Urban,stable,
Passeriformes,Parulidae,Forest,Setophaga,ruticilla,Setophaga ruticilla,American Redstart,AMRE,NM,INS,Sh,Gle,Deci,Deci,Mixed woodlands,Early successional,stable,
Passeriformes,Turdidae,Other,Turdus,migratorius,Turdus migratorius,American Robin,AMRO,SDM,OMN,Sh,For,T,Urb,Agricultural,Woodlands,stable,
Passeriformes,Passerillidae,Other,Spizelloides,,Spizelloides arborea,American Tree Sparrow,ATSP,SDM,OMN,G,For,G,B,Open woodlands,Tundra,decreasing,
Passeriformes,Picidae,Forest,Picoides,dorsalis,Picoides dorsalis,American Three-toed Woodpecker ,ATTW,R,INS,B,Exc,Sn,Swa,,,increasing,
Passeriformes,Parulidae,Forest,Mniotilta,varia,Mniotilta varia,Black-and-white Warbler ,BAWW,NM,INS,B,Gle,G,MIx,Deciduous woodlands,Woodlands,stable,
Passeriformes,Parulidae,Forest,Setophaga,castanea,Setophaga castanea,Bay-breasted Warbler,BBWA,NM,INS,Ca,Gle,Coni,Coni,Mixed woodlands,Open woodlands,increasing,
Piciformes,Picidae,Forest,Picoides,arcticus,Picoides arcticus,Black-backed Woodpecker,BBWO,R,INS,B,Scl,Sn,Coni,Mixed woodlands,Bogs,increasing,
Passeriformes,Paridae,Forest,Poecile,attricapillus,Poecile atricapillus,Black-capped Chickadee ,BCCH,R,INS,Sh,Gle,Sn,MIx,Deciduous woodlands,Ope,increasing,
Passeriformes,Icteridae,Other,Molothrus,ater,Molothrus ater,Brown-headed Cowbird ,BHCO,SDM,OMN,G,For,Deci,Agri,Woodlands,Urban,decreasing,
Passeriformes,Vireonidae,Forest,Vireo,solitarius,Vireo solitarius,Blue-headed Vireo ,BHVI,SDM,INS,Sh,Gle,Coni,MIx,Coniferous woodlands,None,increasing,
Passeriformes,Parulidae,Forest,Setophaga,striata,Setophaga striata,Blackpoll Warbler,BLPW,NM,INS,Ca,Gle,Coni,Coni,Bogs,None,decreasing,
Passeriformes,Paridae,Forest,Poecile,hudsonicus,Poecile hudsonicus,Boreal Chickadee ,BOCH,R,INS,Sh,Gle,Sn,Coni,Mixed woodlands,Bogs,stable,
Passeriformes,Icteridae,Other,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,BRBL,SDM,OMN,G,For,G,Agri,Early successional,B,decreasing,
Passeriformes,Certhiidae,Forest,Certhia ,americana,Certhia americana,Brown Creeper ,BRCR,SDM,INS,B,Gle,Sn,MIx,Deciduous woodlands,Coniferous woodlands,increasing,
Passeriformes,Parulidae,Forest,Setophaga,virens,Setophaga virens,Black-throated Green Warbler,BTNW,NM,INS,Ca,Gle,Coni,Coni,Mixed woodlands,Deci,stable,
Passeriformes,Parulidae,Forest,Cardellina,canadensis,Cardellina canadensis,Canada Warbler,CAWA,NM,INS,Sh,Gle,G,Deci,Mixed woodlands,Riparian woodlands,decreasing,
Passeriformes,Passerellidae,Other,Spizella,pallida,Spizella pallida,Clay-colored Sparrow,CCSP,NM,OMN,G,For,Sh,Suc,Burned/logged areas,Woodlands,decreasing,
Passeriformes,Passerellidae,Other,Spizella,passerina,Spizella passerina,Chipping Sparrow ,CHSP,SDM,OMN,G,For,Coni,Ope,Woodlands,Agricultural,decreasing,
Passeriformes,Parulidae,Forest,Oporornis,agilis,Oporornis agilis,Connecticut Warbler,CONW,NM,INS,G,Gle,G,B,Coniferous woodlands,Deciduous woodlands,decreasing,
Passeriformes,Corvidae,Other,Corvus ,corax,Corvus corax,Common Raven ,CORA,R,OMN,G,Sca,Clif,Woo,Clifs,None,increasing,
Passeriformes,Parulidae,Wetland,Geothlypis,trichas,Geothlypis trichas,Common Yellowthroat,COYE,NM,INS,Sh,Gle,G,Mar,Bogs,Lakes/ponds/rivers,stable,
Passeriformes,Passerellidae,Forest,Junco,hyemalis,Junco hyemalis,Dark-eyed Junco ,DEJU,SDM,OMN,G,For,G,Coni,Mixed woodlands,Early successional,stable,
Passeriformes,Tyrannidae,Forest,Tyrannus,tyrannus,Tyrannus tyrannus,Eastern Kingbird ,EAKI,NM,INS,A,Sal,Deci,Suc,Agricultural,Woodlands,decreasing,
Passeriformes,Fringillidae,Forest,Coccothraustes,vespertinus,Coccothraustes vespertinus,Evening Grosbeak,EVGR,N,OMN,Ca,For,Coni,MIx,Coniferous woodlands,None,decreasing,
Passeriformes,Passerellidae,Forest,Passerella,iliaca,Passerella iliaca,Fox Sparrow ,FOSP,SDM,OMN,G,For,G,Woo,Coniferous woodlands,Mixed woodlands,increasing,
Passeriformes,Regulidae,Forest,Regulus,satrapa,Regulus satrapa,Golden-crowned Kinglet,GCKI,SDM,INS,Sh,Gle,Coni,Coni,Mixed woodlands,None,increasing,
Passeriformes,Turdidae,Forest,Catharus,minimus,Catharus minimus,Gray-cheeked Thrush,GCTH,NM,OMN,G,For,Sh,Coni,Bogs,None,decreasing,
Passeriformes,Corvidae,Forest,Perisoreus,canadensis,Perisoreus canadensis,Canada Jay,GRAJ,R,OMN,Ca,For,Coni,Coni,Mixed woodlands,Bogs,decreasing,
Passeriformes,Tyrannidae,Forest,Empidonax,hammondii,Empidonax hammondii,Hammond's Flycatcher,HAFL,NM,INS,A,Sal,Coni,Coni,Mixed woodlands,None,increasing,
