"X","spec","meandens","meddens","pOccMean","pOccMed"
1,"ALFL",0.126599784,0.103762891,0.118913773151111,0.098560988613998
2,"AMCR",0.024604869,0.007598012,0.0243046366439483,0.0075692200734393
3,"AMRE",0.065833452,0.033419918,0.0637132120011648,0.0328676419761902
4,"AMRO",0.165521048,0.144116245,0.152547974153037,0.134212901211967
5,"ATSP",0.022596001,0.000234046,0.0223426233977581,0.000234018613371578
6,"ATTW",0.00270393,0.001376022,0.00270027767389724,0.00137507571581352
7,"BARS",0.014458748,0.007714775,0.0143547222672589,0.0076850925036579
8,"BAWW",0.033071955,0.02099849,0.0325310571433572,0.0207795568087875
9,"BBWA",0.020598639,0.009902196,0.0203879362456379,0.00985333068151617
10,"BBWO",0.001736158,0.001354875,0.00173465174952192,0.00135395757124768
11,"BCCH",0.038417684,0.023468211,0.0376890849350813,0.0231949741697354
12,"BHCO",0.043382117,0.02074158,0.0424545742345641,0.0205279529663396
13,"BHVI",0.024036767,0.019421971,0.0237501846789119,0.0192345796519792
14,"BLPW",0.053298061,0.004531882,0.0519026204895767,0.00452162851780735
15,"BOCH",0.028761251,0.022503113,0.0283515831358205,0.0222518065415275
16,"BRBL",NA,NA,NA,NA
17,"BRCR",0.009873989,0.004224893,0.00982540122051334,0.00421598069516504
18,"BTNW",0.010530061,0.003320809,0.0104748139958207,0.00331530121224999
19,"CAWA",0.009145691,0.003141567,0.00910399637360504,0.00313663744192239
20,"CCSP",0.083115099,0.035025958,0.0797547781804984,0.0344196486025106
21,"CHSP",0.265592809,0.258508995,0.233248721836057,0.22779791493981
22,"CONW",0.009779125,0.004145809,0.00973146484185483,0.00413722699774477
23,"CORA",0.032654053,0.027016768,0.0321266654450351,0.0266550796601239
24,"COYE",0.061604848,0.039933467,0.0597456432177084,0.03914663451734
25,"DEJU",0.161244007,0.130864888,0.148915624776588,0.122663694953746
26,"EAKI",0.005601782,0.002568882,0.00558612127551295,0.00256558524622974
27,"EVGR",0.004632461,0.003338243,0.00462174770190449,0.00333267726182118
28,"FOSP",0.047496948,0.005344881,0.0463866164437684,0.00533062253811933
29,"GCKI",0.026626817,0.008929521,0.0262754488211904,0.00888977123081081
30,"GCTH",0.024311689,0.000494744,0.0240185403405118,0.000494621634367975
31,"GRAJ",0.094029587,0.077373795,0.0897441698968969,0.0744561747154762
32,"HAFL",0.000862598,0.000325696,0.000862226069295091,0.000325642966815476
33,"HETH",0.10382284,0.082876373,0.098615027361491,0.0795350654951525
34,"HOLA",0.000716158,0.000252355,0.000715901620066073,0.00025232316115531
35,"LCSP",0.033351738,0.017859481,0.0328017006441057,0.0177009456584649
36,"LEFL",0.084519674,0.058288828,0.0810464242936659,0.0566225657336084
37,"LEYE",0.016610895,0.003628194,0.0164736948067218,0.0036216200570659
38,"LISP",0.132192184,0.110158782,0.12382740745577,0.104308095746979
39,"MAWA",0.049740452,0.033556275,0.0485236537619803,0.0329995082524841
40,"NOFL",0.024412572,0.021629624,0.0241169953118067,0.0213973811385022
41,"NOWA",0.030444226,0.020125138,0.0299854678509764,0.0199239791204252
42,"OCWA",0.072183932,0.03789201,0.0696402428581013,0.0371830901246094
43,"OSFL",0.006877527,0.006230606,0.006853930936359,0.00621123602421103
